id,price_usd,price_decile
593332128562974077,140.0,5
593399979902305782,101.0,3
594684999868790964,139.0,5
594880254323625379,145.0,5
598483348359303456,60.0,0
598540165238320862,120.0,4
598600704928190553,444.0,9
598647640177093159,296.0,8
598722658189048119,921.0,9
600525407367572701,109.0,3
600576477040168354,158.0,6
600644787336850322,225.0,7
600689703786112609,296.0,8
600829985936198475,75.0,1
602044235063163642,191.0,7
602348265963130680,70.0,0
602348590325459976,75.0,1
602689442984691613,218.0,7
602906967916854218,142.0,5
604245525254946416,147.0,5
604391804107894692,95.0,2
604666093708571380,99.0,2
604938226380337686,129.0,4
607133559837798983,69.0,0
610265461685785634,192.0,7
610560281626401230,214.0,7
612239021482790858,200.0,7
613700249253498876,307.0,8
614302016810761350,121.0,4
614432345982798255,125.0,4
615126022901132487,129.0,4
615307974552362252,153.0,5
615681354405157243,239.0,7
616888515375292290,116.0,4
617493282921278807,86.0,2
617504595837233332,180.0,6
618110235047093838,100.0,3
618631910523278073,181.0,6
619483022361673632,983.0,9
619567362673536608,126.0,4
622400091046078341,72.0,1
623020462208497897,885.0,9
623153656813826582,989.0,9
625358586777386062,234.0,7
626718578774555759,90.0,2
627500017408762211,85.0,1
628105532636221295,260.0,8
628156041663377846,202.0,7
628370434306614889,586.0,9
628846920167906161,110.0,3
628861963820378561,133.0,5
629657604334214852,83.0,1
630472961938618312,81.0,1
630553964450826956,64.0,0
630971916235713858,107.0,3
631066632238704724,115.0,4
631761067050806095,220.0,7
631998910601981114,68.0,0
632611045895676379,185.0,6
632739314530565782,201.0,7
633160111807551765,329.0,8
633293213463335949,165.0,6
633473670831270678,99.0,2
633772538334050339,271.0,8
635355880329805661,155.0,5
635415350287429913,187.0,6
635453479167942216,88.0,2
637143277389380178,260.0,8
638599565124490140,292.0,8
639228394282746880,115.0,4
640420687296388472,145.0,5
640473347103600209,54.0,0
641186582779309765,220.0,7
641225233588116677,330.0,8
641304933834393681,328.0,8
641408235896240100,118.0,4
642768690636158694,125.0,4
643552941190255158,163.0,6
644782260633230559,350.0,9
645082046833169782,100.0,3
646209186010299913,164.0,6
647499540261382950,121.0,4
648391789873513026,94.0,2
649271498593305635,78.0,1
649917979938769946,162.0,6
650894722794239718,184.0,6
651471825772202562,117.0,4
651590529149953457,75.0,1
652311757396485871,212.0,7
653675062901887921,385.0,9
654194009538201852,75.0,1
654263673961572541,103.0,3
654362822315075318,165.0,6
655115155961969746,75.0,1
656541516341155950,333.0,8
658017930165418486,150.0,5
658106043154012154,93.0,2
658646619954194672,166.0,6
658784191155071456,250.0,8
658804581454342640,52.0,0
660310339680082178,100.0,3
660682507219527871,200.0,7
660829391095210143,78.0,1
661017790664427303,125.0,4
661619298131144900,191.0,7
664506620829969409,107.0,3
664995026930626855,146.0,5
665285983377320322,175.0,6
667240876916183414,84.0,1
668106311195140820,612.0,9
668686856973626686,95.0,2
668825067960935962,271.0,8
668880210547439250,800.0,9
669416515017704474,48.0,0
669756483535908337,999.0,9
670778011104116657,175.0,6
671623902125220796,110.0,3
671882192427658113,163.0,6
673618382327247833,129.0,4
673667437584241325,55.0,0
676759193993863114,52.0,0
676863018438068627,181.0,6
677353796235788057,56.0,0
679549078708065289,219.0,7
681294831848601446,601.0,9
681984555043356793,221.0,7
682732554537545976,82.0,1
683253387866026760,88.0,2
683419374652644627,65.0,0
683959567296407076,245.0,7
684276111985663750,524.0,9
685522508132856082,163.0,6
686055814693911306,93.0,2
686088974677118082,150.0,5
688382665214505680,103.0,3
688440633801136672,80.0,1
688527920286591172,256.0,8
689803734611520502,98.0,2
689988576141953763,131.0,4
690077496342128940,97.0,2
692635815829294148,80.0,1
692690736208081397,110.0,3
692747310050859560,100.0,3
693535146849398838,150.0,5
693580362829882827,149.0,5
695008307440529296,79.0,1
695155686927508143,221.0,7
696568972343201433,468.0,9
697623189194493800,338.0,8
698312292468788103,82.0,1
698312324969137172,82.0,1
698312346476999849,81.0,1
698312366002400383,83.0,1
698725929556587296,85.0,1
699184242751473256,216.0,7
699455719266132450,141.0,5
700134617928939908,200.0,7
700859437931507959,374.0,9
701379308767487416,110.0,3
701519587246830822,200.0,7
704201021761597436,49.0,0
705022840214875903,629.0,9
705350379570787090,225.0,7
705668629737875310,355.0,9
706351778017219235,132.0,4
706356638386568044,179.0,6
706357979909942586,175.0,6
