id,url,status,http_code,file_path,file_size,width,height,mode,md5_hash,error
8089299,https://a0.muscache.com/pictures/miso/Hosting-8089299/original/b423ac6d-d7b6-436e-b4a7-e4e0362af7d2.jpeg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\8089299.jpg,1138557,4032,3024,RGB,481d529fbb2107cb945f1bfb6f519ae1,
8193368,https://a0.muscache.com/pictures/ca7c9136-7b70-48c3-8c12-00885fa277e1.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\8193368.jpg,1653434,5760,3840,RGB,e363d02b156cc86bef21c8914d8c53d5,
8265544,https://a0.muscache.com/pictures/cbc7cbdf-6d37-4c33-8b0c-caa4ead937ff.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\8265544.jpg,671401,1764,1825,RGB,d33cb86f985d877225a4f82d7dfdd3d8,
8304698,https://a0.muscache.com/pictures/1afe228b-bef3-4b5a-b432-b5ac3de4a04c.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\8304698.jpg,798681,3264,2448,RGB,f90da954c02f3d89460260cf1b4f7e7d,
1571095,https://a0.muscache.com/pictures/60a2a79f-164a-4039-aa32-9d6672629be0.jpg,failed_http_404,404.0,,0,0,0,,,HTTP 404
3968877,https://a0.muscache.com/pictures/99c8af61-43bc-4d8e-96be-7fa6a84336a8.jpg,failed_http_404,404.0,,0,0,0,,,HTTP 404
3986614,https://a0.muscache.com/pictures/d36ca3ae-21c7-4c3f-ba1b-8a685b9e9868.jpg,failed_http_404,404.0,,0,0,0,,,HTTP 404
1475299,https://a0.muscache.com/pictures/f88ba155-93cf-4b8f-97bd-fa5679e8b77b.jpg,failed_http_404,404.0,,0,0,0,,,HTTP 404
8782463,https://a0.muscache.com/pictures/21c2f545-86ab-4c53-975f-0c89724c1219.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\8782463.jpg,1944637,4608,3072,RGB,e63dba2cc3acc7591e7455a4b72c6952,
9022608,https://a0.muscache.com/pictures/a41c54e5-6eb4-44a3-875b-fded8ef4726a.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\9022608.jpg,1162232,2958,2369,RGB,4a707ac729ad5a5012083e3a8d39fdf8,
1768955,https://a0.muscache.com/pictures/24983468/1c037ed5_original.jpg,failed_http_404,404.0,,0,0,0,,,HTTP 404
10085566,https://a0.muscache.com/pictures/f1963bb5-40a6-44c0-9b32-e0caa9f836c0.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\10085566.jpg,60132,432,324,RGB,a52111999f7f6630ec25f22cddf3ed15,
9944111,https://a0.muscache.com/pictures/7406b089-7507-4e79-9b20-c9469b4cac81.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\9944111.jpg,982950,2048,1365,RGB,eddbb33b42dcd4a2009a1bf3ce7b637c,
10263107,https://a0.muscache.com/pictures/cb4a4033-1019-4318-981e-45ed979c479f.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\10263107.jpg,434538,961,1057,RGB,36212398fcd181254ba41c94349c0a03,
2454666,https://a0.muscache.com/pictures/cd89dc05-bf62-49db-8998-57c043de104e.jpg,failed_http_404,404.0,,0,0,0,,,HTTP 404
10360188,https://a0.muscache.com/pictures/51681cfb-ab30-47a8-b585-8ea39d878d88.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\10360188.jpg,1865415,4032,3024,RGB,a0110b60b76a7c70fc5881cf179f7829,
314540,https://a0.muscache.com/pictures/miso/Hosting-314540/original/60de5223-6198-46dc-bc0f-00857e70b1b1.jpeg,failed_http_404,404.0,,0,0,0,,,HTTP 404
10632884,https://a0.muscache.com/pictures/miso/Hosting-10632884/original/27e0ccb9-f30e-4bbb-bb86-c155927a1882.jpeg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\10632884.jpg,2001169,5761,3841,RGB,20362c0bb4a84773ebb32c59ba8b253d,
10724022,https://a0.muscache.com/pictures/aa14ad05-4792-4e28-919c-84167c3e9b5e.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\10724022.jpg,538210,2411,1170,RGB,042ef8152360e5b7de409c65f6c04576,
11291801,https://a0.muscache.com/pictures/814f8d50-4c73-4edf-9564-944bcf0c09a0.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\11291801.jpg,1647591,2592,3872,RGB,c7ffbad6e90f7465a2a5de7030c01e07,
10853381,https://a0.muscache.com/pictures/miso/Hosting-10853381/original/a9a31997-33e0-48b1-9430-be7fa34ef12b.jpeg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\10853381.jpg,3777743,4032,3024,RGB,defdb96ab27073a04ab8cb9c536626d9,
